,Name,Platform,Genre,Publisher,Region,Sales
0,Wii Sports,Wii,Sports,Nintendo,NA,41.49
1,Super Mario Bros.,NES,Platform,Nintendo,NA,29.08
9,Duck Hunt,NES,Shooter,Nintendo,NA,26.93
5,Tetris,GB,Puzzle,Nintendo,NA,23.2
2,Mario Kart Wii,Wii,Racing,Nintendo,NA,15.85
3,Wii Sports Resort,Wii,Sports,Nintendo,NA,15.75
15,Kinect Adventures!,X360,Misc,Microsoft Game Studios,NA,14.97
8,New Super Mario Bros. Wii,Wii,Platform,Nintendo,NA,14.59
7,Wii Play,Wii,Misc,Nintendo,NA,14.03
18,Super Mario World,SNES,Platform,Nintendo,NA,12.78
4,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,JP,10.22
12,Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo,JP,7.2
1,Super Mario Bros.,NES,Platform,Nintendo,JP,6.81
6,New Super Mario Bros.,DS,Platform,Nintendo,JP,6.5
20,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,JP,6.04
26,Pokemon Black/Pokemon White,DS,Role-Playing,Nintendo,JP,5.65
25,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,Nintendo,JP,5.38
41,Animal Crossing: Wild World,DS,Simulation,Nintendo,JP,5.33
27,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,JP,5.32
214,Monster Hunter Freedom 3,PSP,Role-Playing,Capcom,JP,4.87
0,Wii Sports,Wii,Sports,Nintendo,EU,29.02
2,Mario Kart Wii,Wii,Racing,Nintendo,EU,12.88
3,Wii Sports Resort,Wii,Sports,Nintendo,EU,11.01
10,Nintendogs,DS,Simulation,Nintendo,EU,11.0
16,Grand Theft Auto V,PS3,Action,Take-Two Interactive,EU,9.27
19,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,EU,9.26
6,New Super Mario Bros.,DS,Platform,Nintendo,EU,9.23
7,Wii Play,Wii,Misc,Nintendo,EU,9.2
4,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,EU,8.89
14,Wii Fit Plus,Wii,Sports,Nintendo,EU,8.59
17,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,Other,10.57
0,Wii Sports,Wii,Sports,Nintendo,Other,8.46
47,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,Other,7.53
16,Grand Theft Auto V,PS3,Action,Take-Two Interactive,Other,4.14
2,Mario Kart Wii,Wii,Racing,Nintendo,Other,3.31
3,Wii Sports Resort,Wii,Sports,Nintendo,Other,2.96
348,Pro Evolution Soccer 2008,PS2,Sports,Konami Digital Entertainment,Other,2.93
6,New Super Mario Bros.,DS,Platform,Nintendo,Other,2.9
7,Wii Play,Wii,Misc,Nintendo,Other,2.85
10,Nintendogs,DS,Simulation,Nintendo,Other,2.75
