,Name,Year,Global_Sales
0,Asteroids,1980,4.31
1,Pitfall!,1981,4.5
2,Pac-Man,1982,7.81
3,Baseball,1983,3.2
4,Duck Hunt,1984,28.31
5,Super Mario Bros.,1985,40.24
6,The Legend of Zelda,1986,6.51
7,Zelda II: The Adventure of Link,1987,4.38
8,Super Mario Bros. 3,1988,17.28
9,Tetris,1989,30.26
10,Super Mario World,1990,20.61
11,The Legend of Zelda: A Link to the Past,1991,4.61
12,Super Mario Land 2: 6 Golden Coins,1992,11.18
13,Super Mario All-Stars,1993,10.55
14,Donkey Kong Country,1994,9.3
15,Donkey Kong Country 2: Diddy's Kong Quest,1995,5.15
16,Pokemon Red/Pokemon Blue,1996,31.37
17,Gran Turismo,1997,10.95
18,Pokémon Yellow: Special Pikachu Edition,1998,14.64
19,Pokemon Gold/Pokemon Silver,1999,23.1
20,Pokémon Crystal Version,2000,6.39
21,Gran Turismo 3: A-Spec,2001,14.98
22,Grand Theft Auto: Vice City,2002,16.15
23,Need for Speed Underground,2003,10.46
24,Grand Theft Auto: San Andreas,2004,20.81
25,Nintendogs,2005,24.76
26,Wii Sports,2006,82.74
27,Wii Fit,2007,22.72
28,Mario Kart Wii,2008,35.82
29,Wii Sports Resort,2009,33.0
30,Call of Duty: Black Ops,2010,29.400000000000002
31,Call of Duty: Modern Warfare 3,2011,30.830000000000002
32,Call of Duty: Black Ops II,2012,29.72
33,Grand Theft Auto V,2013,37.78
34,Call of Duty: Advanced Warfare,2014,21.9
35,Call of Duty: Black Ops 3,2015,25.32
36,FIFA 17,2016,6.909999999999999
37,Phantasy Star Online 2 Episode 4: Deluxe Package,2017,0.04
38,Imagine: Makeup Artist,2020,0.29
